dataType,date,tradingPartner,value
OldinvValue,2018-04-17,C,0
OldpayValue,2018-04-17,C,0
OlddocCount,2018-04-17,D,127
OlddocVolume,2018-04-17,D,122881
OldpoValue,2018-04-17,D,0
OldinvValue,2018-04-17,D,0
OldpayValue,2018-04-17,D,0
OlddocCount,2018-04-17,E,846
OlddocVolume,2018-04-17,E,1878516
OldpoValue,2018-04-17,E,0
OldinvValue,2018-04-17,E,0
OldpayValue,2018-04-17,E,0
OlddocCount,2018-04-17,F,15
OlddocVolume,2018-04-17,F,735
OldpoValue,2018-04-17,F,0
OldinvValue,2018-04-17,F,0
OldpayValue,2018-04-17,F,0
OlddocCount,2018-04-17,G,0
OlddocVolume,2018-04-17,G,0
OldpoValue,2018-04-17,G,0
OldinvValue,2018-04-17,G,0
OldpayValue,2018-04-17,G,0
OlddocCount,2018-04-17,H,199
OlddocVolume,2018-04-17,H,180227
OldpoValue,2018-04-17,H,0
OldinvValue,2018-04-17,H,0
OldpayValue,2018-04-17,H,0
OlddocCount,2018-04-17,I,2762
OlddocVolume,2018-04-17,I,1373164
OldpoValue,2018-04-17,I,0
OldinvValue,2018-04-17,I,0
OldpayValue,2018-04-17,I,0
OlddocCount,2018-04-17,J,1854
OlddocVolume,2018-04-17,J,410835
OldpoValue,2018-04-17,J,41663445
OldinvValue,2018-04-17,J,0
OldpayValue,2018-04-17,J,0
OlddocCount,2018-04-17,K,1968
OlddocVolume,2018-04-17,K,416481
OldpoValue,2018-04-17,K,0
OldinvValue,2018-04-17,K,0
OldpayValue,2018-04-17,K,0
OlddocCount,2018-04-17,L,0
OlddocVolume,2018-04-17,L,0
OldpoValue,2018-04-17,L,0
OldinvValue,2018-04-17,L,0
OldpayValue,2018-04-17,L,0
OlddocCount,2018-04-17,N,2684
OlddocVolume,2018-04-17,N,881959
OldpoValue,2018-04-17,N,0
OldinvValue,2018-04-17,N,0
OldpayValue,2018-04-17,N,0
OlddocCount,2018-04-17,O,3048
OlddocVolume,2018-04-17,O,502512
OldpoValue,2018-04-17,O,0
OldinvValue,2018-04-17,O,0
OldpayValue,2018-04-17,O,0
OlddocCount,2018-04-17,M,0
OlddocVolume,2018-04-17,M,0
OldpoValue,2018-04-17,M,0
OldinvValue,2018-04-17,M,0
OldpayValue,2018-04-17,M,0
OlddocCount,2018-04-17,Q,0
OlddocVolume,2018-04-17,Q,0
OldpoValue,2018-04-17,Q,0
OldinvValue,2018-04-17,Q,0
OldpayValue,2018-04-17,Q,0
OlddocCount,2018-04-17,P,1343
OlddocVolume,2018-04-17,P,327129
OldpoValue,2018-04-17,P,0
OldinvValue,2018-04-17,P,0
OldpayValue,2018-04-17,P,0
OlddocCount,2018-04-17,R,2244
OlddocVolume,2018-04-17,R,644398
OldpoValue,2018-04-17,R,0
OldinvValue,2018-04-17,R,0
OldpayValue,2018-04-17,R,0
OlddocCount,2018-04-17,T,789
OlddocVolume,2018-04-17,T,1021964
OldpoValue,2018-04-17,T,0
OldinvValue,2018-04-17,T,0
OldpayValue,2018-04-17,T,0
OlddocCount,2018-04-17,S,803
OlddocVolume,2018-04-17,S,1579192
OldpoValue,2018-04-17,S,6751247
OldinvValue,2018-04-17,S,0
OldpayValue,2018-04-17,S,0
OlddocCount,2018-04-17,U,0
OlddocVolume,2018-04-17,U,0
OldpoValue,2018-04-17,U,0
OldinvValue,2018-04-17,U,0
OldpayValue,2018-04-17,U,0
docCount,2018-04-18,A,137453
docVolume,2018-04-18,A,140978964
poValue,2018-04-18,A,93524326
invValue,2018-04-18,A,801433865
payValue,2018-04-18,A,0
OlddocCount,2018-04-18,B,14961
OlddocVolume,2018-04-18,B,6616602
OldpoValue,2018-04-18,B,0
OldinvValue,2018-04-18,B,0
OldpayValue,2018-04-18,B,0
OlddocCount,2018-04-18,C,2226
OlddocVolume,2018-04-18,C,343215
OldpoValue,2018-04-18,C,0
OldinvValue,2018-04-18,C,0
OldpayValue,2018-04-18,C,0
OlddocCount,2018-04-18,D,123
OlddocVolume,2018-04-18,D,119382
OldpoValue,2018-04-18,D,0
OldinvValue,2018-04-18,D,0
OldpayValue,2018-04-18,D,0
OlddocCount,2018-04-18,E,841
OlddocVolume,2018-04-18,E,2332487
OldpoValue,2018-04-18,E,0
OldinvValue,2018-04-18,E,0
OldpayValue,2018-04-18,E,0
OlddocCount,2018-04-18,F,13
OlddocVolume,2018-04-18,F,632
OldpoValue,2018-04-18,F,0
OldinvValue,2018-04-18,F,0
OldpayValue,2018-04-18,F,0
OlddocCount,2018-04-18,G,0
OlddocVolume,2018-04-18,G,0
OldpoValue,2018-04-18,G,0
OldinvValue,2018-04-18,G,0
OldpayValue,2018-04-18,G,0
OlddocCount,2018-04-18,H,193
OlddocVolume,2018-04-18,H,174200
OldpoValue,2018-04-18,H,0
OldinvValue,2018-04-18,H,0
OldpayValue,2018-04-18,H,0
OlddocCount,2018-04-18,I,2490
OlddocVolume,2018-04-18,I,1255476
OldpoValue,2018-04-18,I,0
OldinvValue,2018-04-18,I,0
OldpayValue,2018-04-18,I,0
OlddocCount,2018-04-18,J,1900
OlddocVolume,2018-04-18,J,421697
OldpoValue,2018-04-18,J,4595766
OldinvValue,2018-04-18,J,0
OldpayValue,2018-04-18,J,0
OlddocCount,2018-04-18,K,2466
OlddocVolume,2018-04-18,K,512334
OldpoValue,2018-04-18,K,0
OldinvValue,2018-04-18,K,0
OldpayValue,2018-04-18,K,0
OlddocCount,2018-04-18,L,0
OlddocVolume,2018-04-18,L,0
OldpoValue,2018-04-18,L,0
OldinvValue,2018-04-18,L,0
OldpayValue,2018-04-18,L,0
OlddocCount,2018-04-18,N,2938
OlddocVolume,2018-04-18,N,962729
OldpoValue,2018-04-18,N,0
OldinvValue,2018-04-18,N,0
OldpayValue,2018-04-18,N,0
OlddocCount,2018-04-18,O,3171
OlddocVolume,2018-04-18,O,522389
OldpoValue,2018-04-18,O,0
OldinvValue,2018-04-18,O,0
OldpayValue,2018-04-18,O,0
OlddocCount,2018-04-18,M,0
OlddocVolume,2018-04-18,M,0
OldpoValue,2018-04-18,M,0
OldinvValue,2018-04-18,M,0
OldpayValue,2018-04-18,M,0
OlddocCount,2018-04-18,Q,0
OlddocVolume,2018-04-18,Q,0
OldpoValue,2018-04-18,Q,0
OldinvValue,2018-04-18,Q,0
OldpayValue,2018-04-18,Q,0
OlddocCount,2018-04-18,P,1542
OlddocVolume,2018-04-18,P,375176
OldpoValue,2018-04-18,P,0
OldinvValue,2018-04-18,P,0
OldpayValue,2018-04-18,P,0
OlddocCount,2018-04-18,R,1883
OlddocVolume,2018-04-18,R,542680
OldpoValue,2018-04-18,R,0
OldinvValue,2018-04-18,R,0
OldpayValue,2018-04-18,R,0
OlddocCount,2018-04-18,T,573
OlddocVolume,2018-04-18,T,897687
OldpoValue,2018-04-18,T,0
OldinvValue,2018-04-18,T,0
OldpayValue,2018-04-18,T,0
OlddocCount,2018-04-18,S,1827
OlddocVolume,2018-04-18,S,3198014
OldpoValue,2018-04-18,S,11046983
OldinvValue,2018-04-18,S,0
OldpayValue,2018-04-18,S,0
OlddocCount,2018-04-18,U,0
OlddocVolume,2018-04-18,U,0
OldpoValue,2018-04-18,U,0
OldinvValue,2018-04-18,U,0
OldpayValue,2018-04-18,U,0
docCount,2018-04-19,A,137436
docVolume,2018-04-19,A,143060619
poValue,2018-04-19,A,104804945
invValue,2018-04-19,A,2118273795
payValue,2018-04-19,A,0
OlddocCount,2018-04-19,B,17593
OlddocVolume,2018-04-19,B,7700689
OldpoValue,2018-04-19,B,0
OldinvValue,2018-04-19,B,0
OldpayValue,2018-04-19,B,0
OlddocCount,2018-04-19,C,2759
OlddocVolume,2018-04-19,C,585251
OldpoValue,2018-04-19,C,3192684
OldinvValue,2018-04-19,C,0
OldpayValue,2018-04-19,C,0
OlddocCount,2018-04-19,D,132
OlddocVolume,2018-04-19,D,131769
OldpoValue,2018-04-19,D,0
OldinvValue,2018-04-19,D,0
OldpayValue,2018-04-19,D,0
OlddocCount,2018-04-19,E,1163
OlddocVolume,2018-04-19,E,2620123
OldpoValue,2018-04-19,E,0
OldinvValue,2018-04-19,E,0
OldpayValue,2018-04-19,E,0
OlddocCount,2018-04-19,F,14
OlddocVolume,2018-04-19,F,676
OldpoValue,2018-04-19,F,0
OldinvValue,2018-04-19,F,0
OldpayValue,2018-04-19,F,0
OlddocCount,2018-04-19,G,0
OlddocVolume,2018-04-19,G,0
OldpoValue,2018-04-19,G,0
OldinvValue,2018-04-19,G,0
OldpayValue,2018-04-19,G,0
OlddocCount,2018-04-19,H,200
OlddocVolume,2018-04-19,H,188315
OldpoValue,2018-04-19,H,0
OldinvValue,2018-04-19,H,0
OldpayValue,2018-04-19,H,0
OlddocCount,2018-04-19,I,2559
OlddocVolume,2018-04-19,I,1290593
OldpoValue,2018-04-19,I,0
OldinvValue,2018-04-19,I,0
OldpayValue,2018-04-19,I,0
OlddocCount,2018-04-19,J,1380
OlddocVolume,2018-04-19,J,286885
OldpoValue,2018-04-19,J,34592562
OldinvValue,2018-04-19,J,0
OldpayValue,2018-04-19,J,0
OlddocCount,2018-04-19,K,2305
OlddocVolume,2018-04-19,K,479013
OldpoValue,2018-04-19,K,0
OldinvValue,2018-04-19,K,0
OldpayValue,2018-04-19,K,0
OlddocCount,2018-04-19,L,0
OlddocVolume,2018-04-19,L,0
OldpoValue,2018-04-19,L,0
OldinvValue,2018-04-19,L,0
OldpayValue,2018-04-19,L,0
OlddocCount,2018-04-19,N,3065
OlddocVolume,2018-04-19,N,1004454
OldpoValue,2018-04-19,N,0
OldinvValue,2018-04-19,N,0
OldpayValue,2018-04-19,N,0
OlddocCount,2018-04-19,O,2848
OlddocVolume,2018-04-19,O,471409
OldpoValue,2018-04-19,O,0
OldinvValue,2018-04-19,O,0
OldpayValue,2018-04-19,O,0
OlddocCount,2018-04-19,M,0
OlddocVolume,2018-04-19,M,0
OldpoValue,2018-04-19,M,0
OldinvValue,2018-04-19,M,0
OldpayValue,2018-04-19,M,0
OlddocCount,2018-04-19,Q,0
OlddocVolume,2018-04-19,Q,0
OldpoValue,2018-04-19,Q,0
OldinvValue,2018-04-19,Q,0
OldpayValue,2018-04-19,Q,0
OlddocCount,2018-04-19,P,1539
OlddocVolume,2018-04-19,P,376963
OldpoValue,2018-04-19,P,0
OldinvValue,2018-04-19,P,0
OldpayValue,2018-04-19,P,0
OlddocCount,2018-04-19,R,1620
OlddocVolume,2018-04-19,R,465880
OldpoValue,2018-04-19,R,0
OldinvValue,2018-04-19,R,0
OldpayValue,2018-04-19,R,0
OlddocCount,2018-04-19,T,810
OlddocVolume,2018-04-19,T,963182
OldpoValue,2018-04-19,T,0
OldinvValue,2018-04-19,T,0
OldpayValue,2018-04-19,T,0
OlddocCount,2018-04-19,S,1259
OlddocVolume,2018-04-19,S,2279530
OldpoValue,2018-04-19,S,12103515
OldinvValue,2018-04-19,S,0
OldpayValue,2018-04-19,S,0
OlddocCount,2018-04-19,U,0
OlddocVolume,2018-04-19,U,0
OldpoValue,2018-04-19,U,0
OldinvValue,2018-04-19,U,0
OldpayValue,2018-04-19,U,0
docCount,2018-04-20,A,150105
docVolume,2018-04-20,A,180305255
poValue,2018-04-20,A,168072452
invValue,2018-04-20,A,779850787
payValue,2018-04-20,A,0
OlddocCount,2018-04-20,B,18080
OlddocVolume,2018-04-20,B,7894610
OldpoValue,2018-04-20,B,0
OldinvValue,2018-04-20,B,0
OldpayValue,2018-04-20,B,0
OlddocCount,2018-04-20,C,3348
OlddocVolume,2018-04-20,C,8059650
OldpoValue,2018-04-20,C,0
OldinvValue,2018-04-20,C,0
OldpayValue,2018-04-20,C,0
OlddocCount,2018-04-20,D,120
OlddocVolume,2018-04-20,D,120313
OldpoValue,2018-04-20,D,0
OldinvValue,2018-04-20,D,0
OldpayValue,2018-04-20,D,0
OlddocCount,2018-04-20,E,1139
OlddocVolume,2018-04-20,E,2970423
OldpoValue,2018-04-20,E,0
OldinvValue,2018-04-20,E,0
OldpayValue,2018-04-20,E,0
OlddocCount,2018-04-20,F,17
OlddocVolume,2018-04-20,F,823
OldpoValue,2018-04-20,F,0
OldinvValue,2018-04-20,F,0
OldpayValue,2018-04-20,F,0
OlddocCount,2018-04-20,G,0
OlddocVolume,2018-04-20,G,0
OldpoValue,2018-04-20,G,0
OldinvValue,2018-04-20,G,0
OldpayValue,2018-04-20,G,0
OlddocCount,2018-04-20,H,201
OlddocVolume,2018-04-20,H,177943
OldpoValue,2018-04-20,H,0
OldinvValue,2018-04-20,H,0
OldpayValue,2018-04-20,H,0
OlddocCount,2018-04-20,I,2822
OlddocVolume,2018-04-20,I,1403552
OldpoValue,2018-04-20,I,0
OldinvValue,2018-04-20,I,0
OldpayValue,2018-04-20,I,0
OlddocCount,2018-04-20,J,1954
OlddocVolume,2018-04-20,J,475775
OldpoValue,2018-04-20,J,49302265
OldinvValue,2018-04-20,J,0
OldpayValue,2018-04-20,J,0
OlddocCount,2018-04-20,K,2035
OlddocVolume,2018-04-20,K,425642
OldpoValue,2018-04-20,K,0
OldinvValue,2018-04-20,K,0
OldpayValue,2018-04-20,K,0
OlddocCount,2018-04-20,L,0
OlddocVolume,2018-04-20,L,0
OldpoValue,2018-04-20,L,0
OldinvValue,2018-04-20,L,0
OldpayValue,2018-04-20,L,0
OlddocCount,2018-04-20,N,2827
OlddocVolume,2018-04-20,N,931330
OldpoValue,2018-04-20,N,0
OldinvValue,2018-04-20,N,0
OldpayValue,2018-04-20,N,0
OlddocCount,2018-04-20,O,2817
OlddocVolume,2018-04-20,O,464852
OldpoValue,2018-04-20,O,0
OldinvValue,2018-04-20,O,0
OldpayValue,2018-04-20,O,0
OlddocCount,2018-04-20,M,0
OlddocVolume,2018-04-20,M,0
OldpoValue,2018-04-20,M,0
OldinvValue,2018-04-20,M,0
OldpayValue,2018-04-20,M,0
OlddocCount,2018-04-20,Q,0
OlddocVolume,2018-04-20,Q,0
OldpoValue,2018-04-20,Q,0
OldinvValue,2018-04-20,Q,0
OldpayValue,2018-04-20,Q,0
OlddocCount,2018-04-20,P,1479
OlddocVolume,2018-04-20,P,363615
OldpoValue,2018-04-20,P,0
OldinvValue,2018-04-20,P,0
OldpayValue,2018-04-20,P,0
OlddocCount,2018-04-20,R,1977
OlddocVolume,2018-04-20,R,566692
OldpoValue,2018-04-20,R,0
OldinvValue,2018-04-20,R,0
OldpayValue,2018-04-20,R,0
OlddocCount,2018-04-20,T,1281
OlddocVolume,2018-04-20,T,2690593
OldpoValue,2018-04-20,T,0
OldinvValue,2018-04-20,T,0
OldpayValue,2018-04-20,T,0
OlddocCount,2018-04-20,S,2530
OlddocVolume,2018-04-20,S,3934760
OldpoValue,2018-04-20,S,11683275
OldinvValue,2018-04-20,S,0
OldpayValue,2018-04-20,S,0
OlddocCount,2018-04-20,V,5393
OlddocVolume,2018-04-20,V,34681180
OldpoValue,2018-04-20,V,0
OldinvValue,2018-04-20,V,0
OldpayValue,2018-04-20,V,0
docCount,2018-04-21,A,58782
docVolume,2018-04-21,A,57945277
poValue,2018-04-21,A,109044
invValue,2018-04-21,A,1019300088
payValue,2018-04-21,A,0
OlddocCount,2018-04-21,B,10238
OlddocVolume,2018-04-21,B,4509288
OldpoValue,2018-04-21,B,0
OldinvValue,2018-04-21,B,0
OldpayValue,2018-04-21,B,0
OlddocCount,2018-04-21,C,1855
OlddocVolume,2018-04-21,C,17779660
OldpoValue,2018-04-21,C,0
OldinvValue,2018-04-21,C,0
OldpayValue,2018-04-21,C,0
OlddocCount,2018-04-21,D,76
OlddocVolume,2018-04-21,D,61644
OldpoValue,2018-04-21,D,0
OldinvValue,2018-04-21,D,0
OldpayValue,2018-04-21,D,0
OlddocCount,2018-04-21,E,449
OlddocVolume,2018-04-21,E,1136274
OldpoValue,2018-04-21,E,0
OldinvValue,2018-04-21,E,0
OldpayValue,2018-04-21,E,0
OlddocCount,2018-04-21,F,3
OlddocVolume,2018-04-21,F,144
OldpoValue,2018-04-21,F,0
OldinvValue,2018-04-21,F,0
OldpayValue,2018-04-21,F,0
OlddocCount,2018-04-21,G,0
OlddocVolume,2018-04-21,G,0
OldpoValue,2018-04-21,G,0
OldinvValue,2018-04-21,G,0
OldpayValue,2018-04-21,G,0
OlddocCount,2018-04-21,H,115
OlddocVolume,2018-04-21,H,76546
OldpoValue,2018-04-21,H,0
OldinvValue,2018-04-21,H,0
OldpayValue,2018-04-21,H,0
OlddocCount,2018-04-21,I,385
OlddocVolume,2018-04-21,I,199369
OldpoValue,2018-04-21,I,0
OldinvValue,2018-04-21,I,0
OldpayValue,2018-04-21,I,0
OlddocCount,2018-04-21,J,963
OlddocVolume,2018-04-21,J,136777
OldpoValue,2018-04-21,J,108375
OldinvValue,2018-04-21,J,0
OldpayValue,2018-04-21,J,0
OlddocCount,2018-04-21,K,1221
OlddocVolume,2018-04-21,K,229674
OldpoValue,2018-04-21,K,0
OldinvValue,2018-04-21,K,0
OldpayValue,2018-04-21,K,0
OlddocCount,2018-04-21,L,0
OlddocVolume,2018-04-21,L,0
OldpoValue,2018-04-21,L,0
OldinvValue,2018-04-21,L,0
OldpayValue,2018-04-21,L,0
OlddocCount,2018-04-21,O,468
OlddocVolume,2018-04-21,O,76709
OldpoValue,2018-04-21,O,0
OldinvValue,2018-04-21,O,0
OldpayValue,2018-04-21,O,0
OlddocCount,2018-04-21,N,240
OlddocVolume,2018-04-21,N,78589
OldpoValue,2018-04-21,N,0
OldinvValue,2018-04-21,N,0
OldpayValue,2018-04-21,N,0
OlddocCount,2018-04-21,M,0
OlddocVolume,2018-04-21,M,0
OldpoValue,2018-04-21,M,0
OldinvValue,2018-04-21,M,0
OldpayValue,2018-04-21,M,0
OlddocCount,2018-04-21,Q,0
OlddocVolume,2018-04-21,Q,0
OldpoValue,2018-04-21,Q,0
OldinvValue,2018-04-21,Q,0
OldpayValue,2018-04-21,Q,0
OlddocCount,2018-04-21,P,1525
OlddocVolume,2018-04-21,P,373505
OldpoValue,2018-04-21,P,0
OldinvValue,2018-04-21,P,0
OldpayValue,2018-04-21,P,0
OlddocCount,2018-04-21,R,144
OlddocVolume,2018-04-21,R,42813
OldpoValue,2018-04-21,R,0
OldinvValue,2018-04-21,R,0
OldpayValue,2018-04-21,R,0
OlddocCount,2018-04-21,T,289
OlddocVolume,2018-04-21,T,13911
OldpoValue,2018-04-21,T,0
OldinvValue,2018-04-21,T,0
OldpayValue,2018-04-21,T,0
OlddocCount,2018-04-21,S,259
OlddocVolume,2018-04-21,S,12378
OldpoValue,2018-04-21,S,0
OldinvValue,2018-04-21,S,0
OldpayValue,2018-04-21,S,0
OlddocCount,2018-04-21,V,221
OlddocVolume,2018-04-21,V,877303
OldpoValue,2018-04-21,V,0
OldinvValue,2018-04-21,V,0
OldpayValue,2018-04-21,V,0
docCount,2018-04-22,A,33789
docVolume,2018-04-22,A,19991694
poValue,2018-04-22,A,669
invValue,2018-04-22,A,541652047
payValue,2018-04-22,A,0
OlddocCount,2018-04-22,B,8380
OlddocVolume,2018-04-22,B,3704142
OldpoValue,2018-04-22,B,0
OldinvValue,2018-04-22,B,0
OldpayValue,2018-04-22,B,0
OlddocCount,2018-04-22,C,542
OlddocVolume,2018-04-22,C,26504
OldpoValue,2018-04-22,C,0
OldinvValue,2018-04-22,C,0
OldpayValue,2018-04-22,C,0
OlddocCount,2018-04-22,D,40
OlddocVolume,2018-04-22,D,24615
OldpoValue,2018-04-22,D,0
OldinvValue,2018-04-22,D,0
OldpayValue,2018-04-22,D,0
OlddocCount,2018-04-22,E,173
OlddocVolume,2018-04-22,E,618559
OldpoValue,2018-04-22,E,0
OldinvValue,2018-04-22,E,0
OldpayValue,2018-04-22,E,0
OlddocCount,2018-04-22,F,0
OlddocVolume,2018-04-22,F,0
OldpoValue,2018-04-22,F,0
OldinvValue,2018-04-22,F,0
OldpayValue,2018-04-22,F,0
OlddocCount,2018-04-22,G,0
OlddocVolume,2018-04-22,G,0
OldpoValue,2018-04-22,G,0
OldinvValue,2018-04-22,G,0
OldpayValue,2018-04-22,G,0
OlddocCount,2018-04-22,H,68
OlddocVolume,2018-04-22,H,35809
OldpoValue,2018-04-22,H,0
OldinvValue,2018-04-22,H,0
OldpayValue,2018-04-22,H,0
OlddocCount,2018-04-22,I,91
OlddocVolume,2018-04-22,I,52041
OldpoValue,2018-04-22,I,0
OldinvValue,2018-04-22,I,0
OldpayValue,2018-04-22,I,0
OlddocCount,2018-04-22,J,144
OlddocVolume,2018-04-22,J,9936
OldpoValue,2018-04-22,J,0
OldinvValue,2018-04-22,J,0
OldpayValue,2018-04-22,J,0
OlddocCount,2018-04-22,K,1392
OlddocVolume,2018-04-22,K,258724
OldpoValue,2018-04-22,K,0
OldinvValue,2018-04-22,K,0
OldpayValue,2018-04-22,K,0
OlddocCount,2018-04-22,L,0
OlddocVolume,2018-04-22,L,0
OldpoValue,2018-04-22,L,0
OldinvValue,2018-04-22,L,0
OldpayValue,2018-04-22,L,0
OlddocCount,2018-04-22,O,0
OlddocVolume,2018-04-22,O,0
OldpoValue,2018-04-22,O,0
OldinvValue,2018-04-22,O,0
OldpayValue,2018-04-22,O,0
OlddocCount,2018-04-22,N,0
OlddocVolume,2018-04-22,N,0
OldpoValue,2018-04-22,N,0
OldinvValue,2018-04-22,N,0
OldpayValue,2018-04-22,N,0
OlddocCount,2018-04-22,M,0
OlddocVolume,2018-04-22,M,0
OldpoValue,2018-04-22,M,0
OldinvValue,2018-04-22,M,0
OldpayValue,2018-04-22,M,0
OlddocCount,2018-04-22,Q,0
OlddocVolume,2018-04-22,Q,0
OldpoValue,2018-04-22,Q,0
OldinvValue,2018-04-22,Q,0
OldpayValue,2018-04-22,Q,0
OlddocCount,2018-04-22,P,1281
OlddocVolume,2018-04-22,P,315150
OldpoValue,2018-04-22,P,0
OldinvValue,2018-04-22,P,0
OldpayValue,2018-04-22,P,0
OlddocCount,2018-04-22,R,61
OlddocVolume,2018-04-22,R,17645
OldpoValue,2018-04-22,R,0
OldinvValue,2018-04-22,R,0
OldpayValue,2018-04-22,R,0
OlddocCount,2018-04-22,T,1267
OlddocVolume,2018-04-22,T,2052740
OldpoValue,2018-04-22,T,0
OldinvValue,2018-04-22,T,0
OldpayValue,2018-04-22,T,0
OlddocCount,2018-04-22,S,886
OlddocVolume,2018-04-22,S,893484
OldpoValue,2018-04-22,S,0
OldinvValue,2018-04-22,S,0
OldpayValue,2018-04-22,S,0
OlddocCount,2018-04-22,V,8
OlddocVolume,2018-04-22,V,25282
OldpoValue,2018-04-22,V,0
OldinvValue,2018-04-22,V,0
OldpayValue,2018-04-22,V,0
docCount,2018-04-23,A,136589
docVolume,2018-04-23,A,181827568
poValue,2018-04-23,A,149869535
invValue,2018-04-23,A,1425116113
payValue,2018-04-23,A,0
OlddocCount,2018-04-23,B,13442
OlddocVolume,2018-04-23,B,5920822
OldpoValue,2018-04-23,B,0
OldinvValue,2018-04-23,B,0
OldpayValue,2018-04-23,B,0
OlddocCount,2018-04-23,C,2345
OlddocVolume,2018-04-23,C,600770
OldpoValue,2018-04-23,C,0
OldinvValue,2018-04-23,C,0
OldpayValue,2018-04-23,C,0
OlddocCount,2018-04-23,D,130
OlddocVolume,2018-04-23,D,124271
OldpoValue,2018-04-23,D,0
OldinvValue,2018-04-23,D,0
OldpayValue,2018-04-23,D,0
OlddocCount,2018-04-23,E,748
OlddocVolume,2018-04-23,E,1683513
OldpoValue,2018-04-23,E,0
OldinvValue,2018-04-23,E,0
OldpayValue,2018-04-23,E,0
OlddocCount,2018-04-23,F,13
OlddocVolume,2018-04-23,F,620
OldpoValue,2018-04-23,F,0
OldinvValue,2018-04-23,F,0
OldpayValue,2018-04-23,F,0
OlddocCount,2018-04-23,G,0
OlddocVolume,2018-04-23,G,0
OldpoValue,2018-04-23,G,0
OldinvValue,2018-04-23,G,0
OldpayValue,2018-04-23,G,0
OlddocCount,2018-04-23,H,191
OlddocVolume,2018-04-23,H,169127
OldpoValue,2018-04-23,H,0
OldinvValue,2018-04-23,H,0
OldpayValue,2018-04-23,H,0
OlddocCount,2018-04-23,I,2649
OlddocVolume,2018-04-23,I,1329344
OldpoValue,2018-04-23,I,0
OldinvValue,2018-04-23,I,0
OldpayValue,2018-04-23,I,0
OlddocCount,2018-04-23,J,1977
OlddocVolume,2018-04-23,J,683666
OldpoValue,2018-04-23,J,90084276
OldinvValue,2018-04-23,J,0
OldpayValue,2018-04-23,J,0
OlddocCount,2018-04-23,K,2125
OlddocVolume,2018-04-23,K,440734
OldpoValue,2018-04-23,K,0
OldinvValue,2018-04-23,K,0
OldpayValue,2018-04-23,K,0
OlddocCount,2018-04-23,L,0
OlddocVolume,2018-04-23,L,0
OldpoValue,2018-04-23,L,0
OldinvValue,2018-04-23,L,0
OldpayValue,2018-04-23,L,0
OlddocCount,2018-04-23,O,2816
OlddocVolume,2018-04-23,O,465044
OldpoValue,2018-04-23,O,0
OldinvValue,2018-04-23,O,0
OldpayValue,2018-04-23,O,0
OlddocCount,2018-04-23,N,3112
OlddocVolume,2018-04-23,N,1020267
OldpoValue,2018-04-23,N,0
OldinvValue,2018-04-23,N,0
OldpayValue,2018-04-23,N,0
OlddocCount,2018-04-23,M,0
OlddocVolume,2018-04-23,M,0
OldpoValue,2018-04-23,M,0
OldinvValue,2018-04-23,M,0
OldpayValue,2018-04-23,M,0
OlddocCount,2018-04-23,Q,0
OlddocVolume,2018-04-23,Q,0
OldpoValue,2018-04-23,Q,0
OldinvValue,2018-04-23,Q,0
OldpayValue,2018-04-23,Q,0
OlddocCount,2018-04-23,P,1096
OlddocVolume,2018-04-23,P,270546
OldpoValue,2018-04-23,P,0
OldinvValue,2018-04-23,P,0
OldpayValue,2018-04-23,P,0
OlddocCount,2018-04-23,R,2058
OlddocVolume,2018-04-23,R,587289
OldpoValue,2018-04-23,R,0
OldinvValue,2018-04-23,R,0
OldpayValue,2018-04-23,R,0
OlddocCount,2018-04-23,T,711
OlddocVolume,2018-04-23,T,1751800
OldpoValue,2018-04-23,T,0
OldinvValue,2018-04-23,T,0
OldpayValue,2018-04-23,T,0
OlddocCount,2018-04-23,S,2062
OlddocVolume,2018-04-23,S,3506206
OldpoValue,2018-04-23,S,112896
OldinvValue,2018-04-23,S,0
OldpayValue,2018-04-23,S,0
OlddocCount,2018-04-23,V,5783
OlddocVolume,2018-04-23,V,35171475
OldpoValue,2018-04-23,V,0
OldinvValue,2018-04-23,V,0
OldpayValue,2018-04-23,V,0
docCount,2018-04-24,A,141178
docVolume,2018-04-24,A,187758009
poValue,2018-04-24,A,115263298
invValue,2018-04-24,A,794214021
payValue,2018-04-24,A,0
OlddocCount,2018-04-24,B,16001
OlddocVolume,2018-04-24,B,7001467
OldpoValue,2018-04-24,B,0
OldinvValue,2018-04-24,B,0
OldpayValue,2018-04-24,B,0
OlddocCount,2018-04-24,C,1688
OlddocVolume,2018-04-24,C,4231169
OldpoValue,2018-04-24,C,0
OldinvValue,2018-04-24,C,0
OldpayValue,2018-04-24,C,0
OlddocCount,2018-04-24,D,122
OlddocVolume,2018-04-24,D,117214
OldpoValue,2018-04-24,D,0
OldinvValue,2018-04-24,D,0
OldpayValue,2018-04-24,D,0
OlddocCount,2018-04-24,E,777
OlddocVolume,2018-04-24,E,2001712
OldpoValue,2018-04-24,E,0
OldinvValue,2018-04-24,E,0
OldpayValue,2018-04-24,E,0
OlddocCount,2018-04-24,F,17
OlddocVolume,2018-04-24,F,829
OldpoValue,2018-04-24,F,0
OldinvValue,2018-04-24,F,0
OldpayValue,2018-04-24,F,0
OlddocCount,2018-04-24,G,0
OlddocVolume,2018-04-24,G,0
OldpoValue,2018-04-24,G,0
OldinvValue,2018-04-24,G,0
OldpayValue,2018-04-24,G,0
